Sate,Title,Description
3-Feb-79,MAG 44 Tightrope,"<p>Case #9790302<br />
Yuri Utkin. Incident occurred in the village of Algasovo, central Russia, November 1952. Statement given 2nd March, 1979. Committed to tape 15th April, 1997. Gertrude Robinson Recording.</p>
<p>…</p>
<p>Special thanks again to Ian Hayles for editing assitance with today’s episode.</p>
<p>Please do take the time to visit  www.twitch.tv/happygoluckyscamps at 9AM GMT on 28th Dec 2016. The 12 hour livestream is for a great cause and any donations people are able to make are welcome, particularly at this time of year.<br />
If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill</p>"
2-Mar-83,MAG 86 - Tucked In,"#9830203


Statement of Benjamin Hatendi... Hateendi? Regarding... A blanket. Dead friend. Monster. Regarding his unavoidable and gruesome end. How he tried to hide. He couldn't. Statement is from 1983. March 2nd. And I guess... I'm doing this one. Tim Stoker. Archival assistant... Archival prisoner at the Magnus Institute.


Thanks to this week's Patrons: Owen Thompson, Dustin Lehman, Elliot Williams, Amy Dotta, Jeremy, Arnie Gonzalez, Medeina, Nick Evans, Jonathan Summerton & Michelle Dallas


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by Sagetyrtle and previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
1-Dec-90,MAG 84 - Possessive,"#9900112

Martin Blackwood, Archival Assistant at the Magnus Institute, recording statement number 9900112, statement of Adrian Weiss, given December 1st 1990.


Thanks to this week's Patrons: Renske S, Ryan McWilliams, Thomas Feeley, James Flinders, Leslie Weir, Joy Lindeen, Cam B, Jackie C, Stephanie Henrichs Welch, Ry, Natasha Herbert


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffat, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by Dasgoat and previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
15-Sep-94,MAG 77 - The Kind Mother,"#9941509

Statement of Lucy Cooper. Incident occurred  in Draycott, Somerset, August 1994. Victim’s name given as Rose Cooper. Statement given 15th September, 1994. Committed to tape 4th November, 1996. Gertrude Robinson Recording. 

Thanks to this week's Patrons: Joshua Fillon, Linzi H. Amy Stapleton,  Max Cairnduff, Rosie Delight, Kristen Ahlstrom, Anika Kahn, Adam  Bertolett, Linda Julia, Sean Frohling  

If you'd like to support us, head to www.patreon.com/rustyquill 

If you'd like to come to our live show with Chaotic Adequate in London on 17th August, tickets can be bought here: http://www.wegottickets.com/event/411950

Sound effects for this episode provided by previously credited artists via freesound.org. 

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1 

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear."
5-Mar-95,MAG 93 - Contaminant,"#9950503


Statement of Lester Chang regarding the cleaning habits of his father-in-law. Original statement given March 5th 1995.


Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Jonathan Walters, Shad Bolling, Anna Malczyk, Olivia Tysoe, Margaret (Peggy) Whitfield, April Kluever, Marie-Anne Dupont, Kristina Kirkland, Isaac M & Kazimier Stine


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by James Austin, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by Reitanna, sgrowe & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.


Content Warning for:




 - Mould/Mold
 - Sudden Hospitalisation
 - OCD
 - Bereavement"
15-May-96,MAG 96 - Return To Sender,"#9961505


Statement of Alfred Breekon, regarding a new pair of workers at his delivery company. Original statement given May 15th 1996.


Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Joshua Diiorio, Eva, Alexa, David Tynan, Helen Clifford, Avon Gale, Joanna Kowalik, Sara Baldwin, Tim Helmstedt, Nikhil Rode


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


The Archivist is played by Jonathan Sims, Sarah Baldwin is played by Alice Adzowa, Alice ""Daisy"" Tonner is played by Fay Roberts.


Sound effects for this episode provided by dheming, Klankbeld, HarryPeeks, acidsnowflake, LeMudCrab, Adam_N, Caitlin_100, mikewest, EFlexTheSoundDesigner & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.


Content Warning for:










 - Gun violence
 - Imposter
 - Body Horror"
5-Sep-97,MAG 53 Crusader,"Case #9970509

Sergeant Walter Heller recording. Regarding a discovery made near Alexandria during Operation Crusader in November of 1941.

…

If you have sound editing experience and want help us make programmes like The Magnus Archives, be sure to send us an email to HR@RustyQuill.com and we'll be in touch very soon.

If you haven't already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.

If you want to get talk with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.

For more information visit www.RustyQuill.com"
22-Nov-98,MAG 2 Do Not Open,"<p>Case #9982211</p>
<p>Statement of Joshua Gellespie regarding his time in the possession of an apparently empty wooden casket.</p>
<p>…</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. It’s more convenient for you and really helps us out. Even better, leave us a review. The more reviews we get, the more people listen and the more we can make!</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill,com.</p>"
21-Dec-98,MAG 46 Literary Heights,"<p>Case #9981221<br />
Statement of Herbert Knox, regarding a repeat customer to his bookshop in Chichester. Original statement given December 21st 1998.</p>
<p>…</p>
<p>Special thanks again to Ian Hayles for editing assistance with today’s episode.</p>
<p>Today’s episode has been sponsored by Failbetter Games, so be sure to check out Fallen London at www.Failbettergames.com/RustyQuill for free actions!</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe  in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill</p>"
10-Jun-99,MAG 17 The Bone Turner’s Tale,"Case #9991006 Statement of Sebastian Adekoya, regarding a new acquisition at Chiswick Library. … Thanks to everyone who took the time to nominate us for the People’s Podcast Awards, we […]"
22-Feb-00,MAG 66 - Held in Customs,"#0002202

Statement of Vincent Yang regarding his claimed imprisonment by Mikaele Salesa. Original statement given 22nd February 2000.

Thank you to this week's patrons: A.L. Hade, Tim Ledsam, Kay, Kandria Sanchez, Rokk, Julie Saunders, Nate Cleveland, Rhys Lawton, Sam Gregge, Ash Pile

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
12-Jun-01,MAG 78 - Distant Cousin,"#0011206 

Statement of Lawrence Moore, regarding something that was not his cousin. Original statement given June 12th 2001.

Thanks to this week's Patrons: Lacey Rough, Julia Morgan, Nope, Liss Kuhlman, Franchesca Todd, Elena Mychaleckj, Matt Weir, jst1138 and Kristen Bonner

If you'd like to support us, head to www.patreon.com/rustyquill 

Sound effects for this episode provided by magedu, sagetyrtle, sandufi, Islabonita, cmusounddesign, kevinkace, corkscr3w, vacuumfan7072, Yoyodaman234, n_audioman, saturdaysoundguy and previously credited artists via freesound.org. 

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1 

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
4-Jun-02,MAG 35 Old Passages,"<p>Case #0020406</p>
<p>Statement of Harold Silvana, regarding discoveries made during the renovation of the Reform Club, Pall Mall.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Also, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us..."
20-Oct-02,MAG 21 Freefall,"<p>Case #0022010</p>
<p>Statement of Moira Kelly, regarding the disappearance of her son Robert.</p>
<p>…</p>
<p>There is still time to vote for The Magnus Archives in the Arts category of the 2016 Podcast Awards! Don’t forget that our other podcast, Rusty Quill Gaming, has also been nominated in the Games and Hobbies category. </p>
<p>Daily voting continues until Sunday 12th June and you can vote for each of our podcasts once a day during that period at www.podcastawards.com. Also be sure to verify your vote every day by selecting the option in the email receipt you are sent.</p>
<p>Like we keep saying, this voting system allows us to duke it out with companies that are much larger than us so do please take the time to vote every day in the period. If we were to win it would allow us to bring you much more content, sooner and to a higher quality.</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit Rustyquill.com/subscribe..."
3-Dec-02,MAG 9 A Father’s Love,"<p>Case #0020312</p>
<p>Statement of Julia Montork regarding the actions and motivations of her father the serial killer Robert Montork.</p>
<p>…</p>
<p>Thanks again for everyone who has taken the time to subscribe and leave us a review. We look forward to being the reason you can’t sleep at night…</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. It’s more convenient for you and really helps us out. Even better, leave us a review. The more reviews we get, the more people listen and the more we can make!</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill,com.</p>"
3-Jun-03,MAG 68 - The Tale of a Field Hospital,"#0030306 

Statement of Joseph Russo regarding a book allegedly authored by Sir Frederick Treeves. Original statement given June 3rd 2003. 

Thanks to this week's Patrons: Paul Sims, Janelle Gobin, Rachel Lewis, Josh Zurcher, Luke Adams, Bobthezool,. Maia Barrow, Robert 'Check out my freaky table' Rulison, Ashlie McConkie, David Pridmore

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by beerbelly38 and previously credited artists via freesound.org.

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!"
24-Aug-03,MAG 27 A Sturdy Lock,"<p>Case #0032408</p>
<p>Statement of Paul McKenzie, regarding repeated nocturnal intrusions into his home.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
4-Nov-03,MAG 88 - Dig,"#0030411


Martin Blackwood, Archival Assistant at the Magnus Institute, recording statement number 0030411, statement of Enrique MacMillan, given November 4th 2003.


Thanks to this week's Patrons: Narrow Margin, Joe Ormond, Kyle Kane, Urchin, Hayley Gullen, Victoria, Judith Bichara, Jennifer Hunt, Meizan Asyraf & Martine Myren


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by James Austin, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
9-Dec-03,MAG 70 - Book of the Dead,"#0030912

Statement of Masato Murray, regarding an unusual inheritance and the causes thereof. Original Statement given 9th December 2003.

If you'd like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!"
9-Apr-04,MAG 52 Exceptional Risk,"Case #0040904

Statement of Phillip Brown, regarding his time working at HMP Wakefield between 1990 and 2002.

…

If you have sound editing experience and want help us make programmes like The Magnus Archives, be sure to send us an email to HR@RustyQuill.com and we'll be in touch very soon.

If you haven't already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.

If you want to get talk with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.

For more information visit www.RustyQuill.com"
17-Jan-05,MAG 24 Strange Music,"<p>Case #0051701<br />
Statement of Leanne Denikin, regarding an antique calliope organ she possessed briefly in August 2004.</p>
<p>…</p>
<p>Thanks again to everyone who took the time to vote for us in the 2016 Podcast Awards, we find out the winners next week.</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
29-Nov-05,MAG 59 Recluse,"Case #0052911 

Statement of Ronald Sinclair regarding his years spent in a teenage half way house on Hill Top Road, Oxford. Original statement given November 29th 2005.

Thank you to this week's patrons: Jagovanni, Summoboomo, Meredith Clayton, K, Morgan Garratt, Aslee Graves, Calacatia, Tiffany Irving, Rose Lewis and Jeff Stanberry

Sean's Kickstarter for Exuviae can be found at http://kck.st/2nCT5y8

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
7-Nov-06,MAG 75 - A Long Way Down,"#0060711 

Statement of Stephen Walker, regarding his brother's disappearance from the top of Tour Montparnasse in October 2006. Original statement given November 7th 2006. 

Thanks to this week's Patrons: Angelina Orlicky, Sigurd Hrothvitnir, Surly Beast, George Sulea, Margo Axsom, Julianne Bowman, Alexander Mulhern, Samantha Paul, JCasey, Emily Jane 

If you'd like to support us, head to www.patreon.com/rustyquill 

Sound effects for this episode provided by previously credited artists via freesound.org. 

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1 

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear."
1/4/2007,MAG 115 - Taking Stock,"Case #0070401


Statement of Mikaele Salesa, regarding an antique meat grinder in his possession during the Autumn of 1999. Original statement given January 4th 2007.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Jon-Paul Vaught, Jaylee Fox, Cody Watson, Victoria Durocher, Jordan Jackson, Martin Hill, Jay Kidwell, Charlotte Vaughan, Rebeca Vieira Barros de Oliveira, Tim Mays.


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by James Austin, Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;&nbsp; ""The Archivist"" - Jonathan Sims
 - &nbsp;&nbsp;&nbsp;""Helen Richardson"" - Imogen Harris




Sound effects this week by Tombombadil1988 & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp; &nbsp; body horror
 - &nbsp;&nbsp;&nbsp;&nbsp;blood
 - &nbsp;&nbsp;&nbsp;&nbsp;cannibalism
 - &nbsp;&nbsp;&nbsp;&nbsp;masochism"
18-Mar-07,MAG 67 - Burning Desire,"#0071803 

Statement of Jack Barnabas regarding a short-lived courtship with Agnes Montague in the Autumn of 2006. Original statement given March 18th 2007. 

Thanks to this week's Patrons: Martin Orchard, Cheryl Peterson, Kristen Bonner, Zack Clark, Marc Elliott, Anna O'Rourke, Erin Dombrowski, Jay Fernandez, Matt Landau, David Minch-Dixon.

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!"
13-Apr-07,MAG 8 Burned Out,"<p>Case #0071304</p>
<p>Statement of Evo Lensik regarding his experiences during the construction of a house on hilltop road Oxford.</p>
<p>…</p>
<p>Remember that during these launch weeks we need as many reviews and subscriptions as possible in order to get the attention we need to climb up the podcast charts. Every time you recommend our work you help us make more!</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill,com.</p>"
